#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus
ASV2764	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	NA	genus_Armatimonadales
ASV2766	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	genus_Beijerinckiaceae
ASV2768	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2769	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12_Beijerinckiaceae
ASV2770	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
ASV2805	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	genus_Intrasporangiaceae
ASV2807	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	genus_Burkholderiaceae
ASV2809	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group
ASV2828	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2858	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2859	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Endobacter
ASV2861	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
